IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.89,78.0,14.3,Ya,Menengah,P,Tidak,Ya
2.18,56.0,6.4,Ya,Menengah,P,Ya,Tidak
2.64,67.0,16.7,Ya,Menengah,P,Tidak,Ya
3.06,66.0,10.7,Ya,Menengah,L,Tidak,Ya
2.74,67.0,9.7,Ya,Rendah,L,Tidak,Ya
2.43,64.0,10.5,Ya,Tinggi,L,Tidak,Tidak
2.99,72.0,8.2,Tidak,Rendah,P,Ya,Ya
2.87,72.0,15.3,Tidak,Tinggi,P,Tidak,Ya
2.57,81.0,11.5,Ya,Rendah,P,Tidak,Ya
3.34,76.0,13.1,Tidak,Rendah,P,Ya,Tidak
2.65,66.0,12.5,Ya,Tinggi,L,Tidak,Ya
2.68,65.0,12.6,Tidak,Rendah,P,Tidak,Ya
2.55,54.0,10.3,Tidak,Menengah,L,Tidak,Ya
3.91,87.0,20.9,Ya,Menengah,L,Ya,Ya
2.33,58.0,4.2,Tidak,Rendah,P,Tidak,Ya
2.49,56.0,17.0,Tidak,Menengah,P,Tidak,Ya
3.39,75.0,18.0,Tidak,Tinggi,P,Tidak,Ya
2.42,60.0,9.1,Tidak,Tinggi,L,Tidak,Tidak
4.0,97.0,19.4,Tidak,Rendah,P,Ya,Ya
2.9,61.0,16.0,Ya,Menengah,L,Tidak,Ya
2.13,62.0,14.4,Tidak,Rendah,P,Tidak,Tidak
3.1,81.0,10.6,Tidak,Rendah,P,Tidak,Ya
3.57,,9.6,Ya,Rendah,L,Ya,Ya
3.28,65.0,11.7,Ya,Tinggi,L,Tidak,Ya
3.53,69.0,14.1,Tidak,Tinggi,L,Tidak,Ya
3.03,85.0,17.6,Ya,Menengah,P,Tidak,Ya
2.89,51.0,12.7,Tidak,Menengah,L,Tidak,Ya
2.14,49.0,8.4,,Menengah,P,Tidak,Tidak
3.15,74.0,15.3,Tidak,Menengah,P,Tidak,Tidak
2.98,92.0,15.7,Tidak,Menengah,P,Tidak,Tidak
2.79,71.0,14.6,Ya,Menengah,L,Ya,Ya
2.8,75.0,13.5,Ya,Rendah,P,Tidak,Ya
3.18,79.0,9.4,Ya,Rendah,L,Tidak,Ya
3.27,88.0,8.8,Tidak,Tinggi,P,Ya,Ya
2.67,62.0,8.5,Tidak,Menengah,P,Tidak,Ya
2.07,64.0,6.0,Ya,Tinggi,P,Tidak,Ya
3.03,88.0,11.4,Ya,Rendah,P,Tidak,Ya
,57.0,,Ya,Menengah,L,Tidak,Ya
3.11,,8.7,Ya,Rendah,P,Tidak,Ya
2.38,47.0,1.0,Tidak,Rendah,L,Tidak,Ya
2.82,64.0,5.5,Tidak,Rendah,L,Tidak,Ya
2.83,74.0,15.0,Ya,Rendah,L,Ya,Tidak
1.8,60.0,9.8,Tidak,Tinggi,L,Tidak,Tidak
2.19,63.0,11.9,Ya,Rendah,L,Tidak,Tidak
3.02,67.0,6.4,Tidak,Menengah,L,Tidak,Ya
3.3,89.0,17.8,Ya,Menengah,L,Tidak,Ya
2.6,70.0,11.4,Tidak,Menengah,P,Tidak,Ya
3.51,74.0,13.2,Tidak,Menengah,P,Tidak,Ya
3.91,,19.8,Ya,,L,Ya,Ya
3.2,72.0,18.6,Tidak,Tinggi,L,Tidak,Ya
2.87,78.0,11.3,Tidak,Tinggi,L,Tidak,Ya
2.83,77.0,9.6,Ya,Menengah,P,Tidak,Tidak
3.28,95.0,10.7,Ya,Menengah,L,Tidak,Ya
3.39,69.0,12.5,Tidak,Rendah,L,Tidak,Ya
2.98,68.0,12.1,Ya,Tinggi,L,Tidak,Ya
3.04,75.0,8.9,Ya,Rendah,L,Tidak,Ya
3.7,86.0,16.4,Ya,Rendah,L,Ya,Ya
,64.0,10.0,Tidak,Rendah,P,Tidak,Ya
3.7,81.0,21.2,Ya,Menengah,P,Tidak,Ya
2.92,78.0,12.4,Ya,Menengah,P,Tidak,Ya
2.45,74.0,19.1,Tidak,Menengah,P,Tidak,Ya
2.25,70.0,13.4,Ya,Menengah,P,Tidak,Ya
2.75,76.0,14.4,Tidak,Rendah,L,Tidak,Tidak
3.06,78.0,9.6,,Tinggi,P,Tidak,Ya
2.62,62.0,8.6,Tidak,Menengah,P,Tidak,Tidak
2.8,57.0,13.8,Tidak,Menengah,L,Ya,Ya
3.4,57.0,14.5,Ya,Rendah,P,Ya,Ya
2.35,61.0,12.7,Tidak,Tinggi,L,Tidak,Tidak
,51.0,5.4,Ya,Rendah,P,Tidak,Tidak
